Causes of death,Year,under 1 year_Male,1 to under 15 years_Male,15 to under 20 years_Male,20 to under 25 years_Male,25 to under 30 years_Male,30 to under 35 years_Male,35 to under 40 years_Male,40 to under 45 years_Male,45 to under 50 years_Male,50 to under 55 years_Male,55 to under 60 years_Male,60 to under 65 years_Male,65 to under 70 years_Male,70 to under 75 years_Male,75 to under 80 years_Male,80 to under 85 years_Male,85 years and over_Male,under 1 year_Female,1 to under 15 years_Female,15 to under 20 years_Female,20 to under 25 years_Female,25 to under 30 years_Female,30 to under 35 years_Female,35 to under 40 years_Female,40 to under 45 years_Female,45 to under 50 years_Female,50 to under 55 years_Female,55 to under 60 years_Female,60 to under 65 years_Female,65 to under 70 years_Female,70 to under 75 years_Female,75 to under 80 years_Female,80 to under 85 years_Female,85 years and over_Female
Mental and behavioural disorders,2015,-,2,7,40,97,163,218,261,513,788,893,876,740,1110,2235,2917,6403,-,2,3,12,32,48,58,68,128,186,239,296,343,780,2046,4054,19032
Mental and behav. disorders due to use of alcohol,2015,-,-,-,3,14,43,87,156,381,644,739,704,502,422,330,126,80,-,-,-,-,6,10,23,30,88,142,185,195,166,146,105,73,90
Mental a.behav. dis. due to oth. psychoactive sub.,2015,-,-,5,33,74,115,121,86,102,85,54,24,5,1,7,1,3,-,-,-,6,15,30,22,23,19,16,7,7,6,9,4,4,5
Diseases of the nervous system and sensory organs,2015,29,64,51,61,57,70,92,139,254,416,527,679,883,1732,2989,3071,3271,28,65,34,25,42,39,53,88,170,315,404,530,689,1233,2296,2821,5924
Meningitis,2015,1,2,-,2,2,-,-,2,3,7,7,4,4,5,11,11,9,1,2,-,-,-,-,-,2,-,4,8,3,2,8,14,10,8
Diseases of the circulatory system,2015,19,32,37,66,105,203,346,740,1906,3730,5615,8027,10026,16438,27885,31341,51480,8,33,27,33,78,108,121,304,670,1213,1833,3049,4394,8917,20851,33620,123361
Hypertensive diseases,2015,-,1,1,-,5,13,17,35,96,197,315,490,574,976,1918,2544,5743,-,1,-,-,1,-,4,11,35,71,111,220,343,787,2167,4180,20916
Ischaemic heart diseases,2015,1,-,1,8,14,43,122,297,886,1810,2874,3999,4876,7582,12444,13304,20203,1,-,2,1,8,10,22,73,193,382,628,1112,1518,3004,6806,10328,35678
Acute or subsequent myocardial infarction,2015,1,-,1,5,11,33,96,226,654,1259,1885,2351,2666,3569,5210,4744,6305,1,-,1,1,7,5,18,49,146,268,398,693,862,1523,3145,4090,10725
Other forms of heart disease,2015,13,21,21,35,44,74,103,192,438,824,1102,1547,1884,3255,5577,6784,12957,5,19,10,10,23,35,33,71,153,261,404,637,924,1902,4654,8287,33773
Other diseases of endocardium,2015,-,2,2,5,5,5,8,20,45,70,101,184,271,526,969,1296,1895,-,1,2,3,1,5,3,8,16,26,41,77,141,340,869,1492,5150
Cerebrovascular diseases,2015,3,2,7,12,18,35,47,82,208,416,620,985,1421,2569,4571,5088,7314,1,8,6,5,19,29,25,74,148,264,380,539,835,1776,4163,6311,19001
"Stroke, not specified as haemorrhage or infarction",2015,-,-,-,1,2,3,-,-,28,43,87,171,295,564,1065,1370,2321,-,-,-,-,-,1,1,5,14,20,36,75,138,360,944,1753,6473
"Diseases of arteries, arterioles and capillaries",2015,-,2,1,1,4,10,15,43,89,163,262,432,516,822,1338,1280,2033,-,-,2,-,5,2,7,15,37,81,95,187,250,483,921,1320,4816
Diseases of the respiratory system,2015,8,29,11,16,31,31,57,99,275,568,1123,1949,2721,4658,7144,7277,10603,7,20,2,17,15,31,32,58,146,321,642,1160,1637,2738,4471,5556,14847
Influenza,2015,1,3,2,2,1,6,2,5,13,6,18,20,21,24,50,53,116,-,1,-,1,-,6,2,5,2,8,10,12,16,23,22,47,202
Pneumonia,2015,1,15,7,6,15,7,23,33,85,123,213,353,487,961,1765,2128,3994,2,12,-,7,5,12,13,23,33,63,89,156,211,467,1092,1653,6120
Chronic lower respiratory diseases,2015,-,2,1,3,10,6,18,33,119,331,701,1265,1801,2872,3813,3604,4435,-,1,1,3,3,6,4,17,70,189,460,837,1207,1809,2477,2810,5502
Asthma,2015,-,1,1,-,7,3,8,8,20,33,26,27,29,43,62,47,79,-,-,1,3,1,3,-,5,12,16,26,35,42,57,83,118,257
"COVID-19, virus detected",2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"COVID-19, virus not detected",2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Diseases of the digestive system,2015,4,9,8,10,27,87,159,346,841,1537,1876,2235,2117,2365,3113,2680,3275,4,6,3,12,25,44,92,164,333,638,786,1001,1128,1609,2522,3037,7751
"Gastric, duodenal, peptic, gastrojejunal ulcer",2015,-,-,2,2,-,1,2,14,18,40,53,85,87,118,188,219,294,-,-,-,-,1,-,-,4,4,13,32,36,50,90,147,214,722
Diseases of liver,2015,1,2,2,3,15,50,116,252,655,1175,1365,1543,1299,1191,1143,685,467,-,2,1,5,11,31,66,116,253,473,546,621,603,671,718,534,575
"Alcohol. liver dis.,chr. hepatitis,fibrosis,cirrh.",2015,-,1,-,3,14,46,112,243,630,1130,1317,1476,1235,1101,1030,589,377,-,1,-,5,8,31,61,107,236,443,517,581,555,603,606,427,404
Diseases of the skin and subcutaneous tissue,2015,-,1,-,-,-,2,5,5,6,11,14,41,34,74,109,98,146,-,-,-,-,-,-,-,3,8,7,22,24,21,58,132,155,466
Diseases of musculoskeletal sys. a. connec. tissue,2015,2,2,1,4,1,2,3,7,27,45,62,80,95,202,290,242,301,-,1,-,1,3,8,5,15,23,29,37,98,107,223,390,427,1038
Chronic polyarthritis and arthrosis,2015,-,1,-,-,-,-,1,2,4,4,9,13,29,40,74,59,94,-,-,-,-,-,1,-,2,5,8,8,19,18,66,108,124,303
Diseases of the genitourinary system,2015,-,2,-,1,3,8,6,22,54,93,181,314,433,948,1846,2451,4502,-,1,1,3,5,8,2,9,31,70,135,194,288,694,1681,2599,8314
Disorders of kidney,2015,-,2,-,1,3,6,5,15,47,75,151,229,330,714,1414,1875,3483,-,1,1,2,3,4,1,7,22,54,99,131,217,510,1238,1905,6503
"Pregnancy, childbirth and the puerperium",2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,7,9,4,2,-,-,-,-,-,-,-,-,-
Certain conditions origin. in the perinatal period,2015,676,7,2,4,1,2,-,1,5,1,1,4,1,-,3,-,1,580,4,-,-,-,2,-,-,3,2,1,4,5,3,3,3,1
"Congenital malform.,deform. a. chromosomal abnorm.",2015,324,71,25,20,24,31,14,28,40,43,81,73,45,36,26,18,32,311,83,16,14,19,19,21,19,24,47,63,56,49,23,33,37,51
Congenital malformations of the nervous system,2015,28,21,8,6,5,4,3,6,4,1,1,3,1,1,1,-,1,34,18,5,3,1,3,5,1,1,1,1,-,2,1,1,1,1
Congenital malformations of the circulatory system,2015,96,19,7,5,7,8,5,7,6,8,7,8,3,7,10,7,15,94,22,4,3,9,4,4,5,2,5,5,3,6,4,11,20,30
"Symp., signs a. abnormal clinical a. lab. findings",2015,142,34,39,78,135,195,289,370,840,1256,1602,1626,1522,1789,1958,1396,2107,119,28,29,40,43,75,90,132,290,419,508,630,735,960,1420,1524,5017
Sudden infant death syndrome,2015,67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Other ill-defined and unknown causes of mortality,2015,74,34,38,75,129,195,283,364,817,1227,1548,1557,1442,1682,1778,1147,1333,59,27,26,36,41,69,86,131,283,392,486,604,679,888,1239,1220,2296
External causes of morbidity and mortality,2015,31,140,372,675,753,762,718,875,1227,1545,1527,1420,1167,1753,2447,2459,3720,15,78,163,175,175,198,205,274,440,532,543,535,551,897,1619,2149,6356
"Accidents, including their sequelae",2015,16,114,219,390,349,316,318,352,490,686,676,790,693,1089,1676,1868,3098,11,52,70,81,64,69,72,81,163,207,235,297,333,605,1302,1923,5941
Transport accidents,2015,1,48,158,281,209,168,142,150,190,260,207,186,125,155,194,161,123,2,24,56,63,37,34,30,34,60,66,57,54,37,75,116,87,98
Falls,2015,-,10,11,31,32,23,32,49,81,149,177,293,294,537,933,1178,2197,3,6,3,2,1,8,11,13,26,37,63,104,143,266,680,1251,4223
Accidental drowning and submersion,2015,4,26,16,31,21,9,10,13,14,23,19,29,11,28,32,20,10,-,7,1,2,3,-,2,2,6,7,7,8,11,17,23,12,20
"Exposure to smoke, fire and flames",2015,-,7,2,3,3,7,8,6,14,23,22,18,14,25,16,22,16,-,2,-,3,-,2,-,6,3,8,10,9,6,16,30,17,25
Accid. poisoning by and exposure to noxious subst.,2015,-,-,10,17,45,64,70,58,64,52,38,30,11,11,15,13,12,1,1,4,6,9,13,7,11,18,19,20,15,7,9,15,9,26
Intentional self-harm,2015,-,6,133,243,340,380,356,458,658,792,768,548,406,580,681,517,531,-,13,63,73,87,105,110,163,237,290,266,209,184,247,253,163,218
Assault,2015,10,16,8,11,24,18,10,17,16,14,11,12,12,10,9,10,6,4,10,24,14,12,12,13,15,14,15,14,8,14,8,14,10,18
Event of undetermined intent,2015,5,4,12,31,38,47,31,46,60,53,71,67,53,73,81,64,83,-,3,6,7,12,11,10,15,26,20,28,20,19,37,49,53,178
Total,2015,1297,567,644,1114,1463,1891,2395,3943,8639,15689,22934,30985,35868,53937,79775,77504,110867,1108,470,345,421,602,897,1218,2140,4770,8524,12006,16773,20788,33896,60190,78499,233041
Certain infectious and parasitic diseases,2016,10,20,15,11,23,28,55,90,150,259,350,474,616,786,1443,1545,2130,5,17,3,11,10,15,26,34,69,120,192,262,374,572,1254,1711,4319
"Tuberculosis, including its sequelae",2016,-,-,2,1,3,3,4,4,9,14,8,8,12,16,29,26,43,-,-,-,2,1,-,-,1,1,3,2,3,2,7,23,23,35
Meningococcal infection,2016,1,1,4,1,-,-,1,1,-,-,-,-,1,-,1,-,-,-,3,-,1,-,-,1,2,-,1,1,-,2,-,1,-,-
Viral hepatitis,2016,-,-,-,-,1,2,11,19,35,49,61,58,48,31,48,39,40,-,-,-,-,-,4,2,7,9,17,21,23,23,37,48,79,77
HIV disease,2016,1,-,-,-,3,9,16,31,35,50,40,30,24,17,18,8,2,-,-,-,2,1,4,9,6,7,14,5,2,1,3,1,1,3
Neoplasms,2016,15,117,71,110,143,218,372,730,2050,4760,8403,12048,15326,18131,26190,20140,20002,10,115,54,43,125,268,495,949,2262,4272,6461,8460,10499,12548,19380,17741,25888
Malignant neoplasms,2016,7,112,65,106,140,211,364,720,2016,4704,8287,11856,15063,17776,25411,19353,18937,6,105,50,41,120,263,488,942,2223,4216,6387,8349,10329,12234,18775,16964,24105
"Malignant neoplasms of lip, oral cavity, pharynx",2016,-,-,-,1,2,7,6,43,137,373,594,686,694,526,513,262,226,-,-,-,1,2,2,7,11,23,77,119,165,178,183,203,175,241
Malignant neoplasms of oesophagus,2016,-,-,-,1,2,2,9,27,109,262,479,625,672,675,784,456,331,-,-,1,-,-,5,1,6,19,45,83,115,172,177,196,171,254
Malignant neoplasms of stomach,2016,-,-,-,1,6,15,29,46,98,261,376,511,614,691,1062,776,884,-,-,-,-,3,14,33,37,101,152,194,230,317,374,610,738,1058
Malignant neoplasms of colon,2016,-,-,1,4,10,11,22,52,103,265,432,635,930,1110,1823,1486,1655,-,-,-,3,7,6,24,35,117,178,284,394,573,721,1397,1478,2885
"Malig. neopl. of rectum,anus,rectosigmoid junction",2016,-,-,-,3,5,4,15,36,87,197,332,449,566,757,990,716,603,-,-,-,1,2,9,19,22,58,112,169,203,293,356,588,570,960
"Malignant neoplasms of liver, bile ducts, pancreas",2016,1,2,-,5,4,12,35,60,264,574,1070,1610,2141,2553,3477,2380,1793,-,3,-,1,4,11,21,60,175,389,609,968,1321,1719,2837,2568,3096
"Malig. neoplasms of liver, intrahepatic bile ducts",2016,-,2,-,3,3,5,12,22,67,165,379,555,790,864,1219,795,530,-,3,-,1,2,7,8,12,37,83,142,190,266,304,529,470,571
Malignant neoplasms of pancreas,2016,1,-,-,1,1,6,21,35,177,370,622,941,1182,1442,1859,1329,1021,-,-,-,-,2,4,10,43,110,260,391,639,880,1172,1896,1694,1943
"Malig. neoplasms of larynx,trachea,bronchus,lung",2016,-,1,-,1,5,10,37,116,450,1323,2606,3870,4609,4895,6007,3864,2777,-,-,1,2,3,16,24,98,337,903,1587,2171,2463,2519,2775,1863,1946
Malignant neoplasms of bronchus and lung,2016,-,1,-,1,5,10,36,111,424,1256,2472,3687,4397,4735,5789,3721,2660,-,-,1,2,3,16,24,96,331,885,1565,2139,2428,2488,2741,1841,1911
Melanoma and other malignant neoplasms of skin,2016,-,-,-,1,5,10,21,27,75,98,141,155,194,283,431,343,436,-,-,-,4,6,9,13,22,56,80,82,98,107,141,198,252,536
Malignant melanoma of skin,2016,-,-,-,1,5,10,20,27,70,92,120,138,163,237,344,230,243,-,-,-,4,6,9,12,21,52,75,77,85,90,124,162,196,313
Malignant neoplasms of breast,2016,-,-,-,-,-,-,1,4,2,4,12,10,22,24,28,22,37,-,-,-,-,26,70,164,303,644,1052,1347,1464,1744,2095,2995,2652,4014
"Malig. neoplasms of genital organs, urinary tract",2016,-,3,2,5,9,10,27,45,143,360,767,1344,2102,3079,5324,5178,6626,-,3,-,3,17,51,98,172,334,620,965,1226,1457,1704,3070,2772,3788
Malignant neoplasms of cervix uteri,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,23,44,66,111,141,176,176,145,111,189,150,222
"Malig. neopl. of corpus uteri,uterus, part unspec.",2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,7,20,34,73,151,186,291,318,536,449,532
Malignant neoplasms of ovary,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,6,18,28,47,123,275,414,500,566,677,1087,843,899
Malignant neoplasms of prostate,2016,-,-,-,-,-,-,2,2,24,95,265,581,1049,1796,3193,3168,4242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Malignant neoplasms of kidney, except renal pelvis",2016,-,3,1,1,-,2,7,15,53,117,235,299,382,438,696,549,482,-,3,-,-,1,3,5,6,23,41,71,118,157,211,400,428,607
Malignant neoplasms of bladder,2016,-,-,-,-,-,-,3,8,32,63,131,237,320,422,750,838,1245,-,-,-,-,-,1,5,12,20,41,54,77,97,141,317,366,766
"Malig. neopl.of lymphoid,haematopoietic,rel.tissue",2016,-,28,21,40,41,33,45,66,166,296,476,721,1004,1440,2455,2084,1784,-,23,15,11,16,23,24,47,104,182,285,482,663,981,1908,1885,2372
Leukaemia,2016,-,24,12,28,26,19,22,27,69,121,178,283,366,614,998,914,841,-,22,9,9,12,14,15,29,58,72,116,194,255,405,738,714,1048
Benign neoplasms,2016,2,2,-,1,1,2,4,3,2,8,8,17,31,28,60,60,80,1,-,-,-,2,1,1,4,11,10,15,20,27,42,71,87,154
Diseases of the blood and blood-forming organs,2016,5,13,2,4,4,8,9,10,19,42,46,65,90,127,254,249,420,4,8,1,1,1,2,5,11,15,26,30,52,89,110,229,349,918
"Endocrine, nutritional and metabolic diseases",2016,22,26,10,21,26,50,64,111,240,461,686,916,1166,1369,2447,2620,3604,11,23,5,11,19,26,36,50,104,188,313,471,616,923,2112,3201,9301
Diabetes mellitus,2016,-,1,4,5,12,18,25,45,121,276,443,662,882,1074,1986,2163,2737,-,-,2,4,5,9,11,16,42,99,172,285,387,637,1607,2489,6840
Mental and behavioural disorders,2016,-,-,7,21,57,138,207,265,492,756,914,899,811,1048,2395,3282,6773,-,-,6,9,21,39,42,80,132,205,230,287,377,725,2110,4370,19560
Mental and behav. disorders due to use of alcohol,2016,-,-,-,4,9,35,85,141,367,614,789,730,546,357,358,178,96,-,-,-,-,2,10,14,39,78,135,157,179,145,126,118,72,68
Mental a.behav. dis. due to oth. psychoactive sub.,2016,-,-,6,14,45,95,115,112,87,93,53,32,9,6,1,-,2,-,-,4,4,12,20,21,26,26,25,13,7,8,6,1,2,3
Diseases of the nervous system and sensory organs,2016,36,69,45,53,53,67,74,142,231,409,518,698,985,1578,3138,3185,3543,14,46,27,32,29,40,58,72,144,266,409,536,746,1175,2420,2926,6035
Meningitis,2016,2,4,-,-,-,2,2,3,3,6,3,8,11,8,10,8,8,-,-,-,-,-,1,2,1,1,2,1,6,5,5,11,14,10
Diseases of the circulatory system,2016,18,29,29,54,107,182,348,673,1697,3471,5513,7738,10464,13975,26699,30334,51489,11,27,19,24,49,110,144,258,632,1193,1855,2830,4497,7854,19233,31597,115534
Hypertensive diseases,2016,-,-,-,-,4,7,15,41,86,186,305,469,623,838,1785,2490,5933,-,1,-,1,1,3,6,7,25,70,114,210,356,713,2101,3987,20258
Ischaemic heart diseases,2016,-,-,4,3,22,34,117,273,768,1710,2783,3942,5126,6600,12008,13129,20270,-,-,1,-,7,16,30,50,165,374,666,1028,1540,2683,6251,9707,32967
Acute or subsequent myocardial infarction,2016,-,-,2,2,17,28,93,221,558,1205,1820,2353,2824,3142,5017,4737,6111,-,-,-,-,5,13,26,39,114,259,440,660,880,1447,2857,3817,9982
Other forms of heart disease,2016,11,19,18,34,40,59,111,143,390,697,1044,1319,1796,2561,5051,6115,12323,11,17,9,7,11,30,27,57,121,235,343,525,878,1561,3986,7334,30349
Other diseases of endocardium,2016,-,1,1,3,6,12,12,25,38,70,129,203,287,420,997,1202,2084,-,2,1,2,3,7,5,8,27,24,44,82,156,296,825,1502,5082
Cerebrovascular diseases,2016,3,6,2,6,14,34,42,83,191,400,649,957,1502,2251,4521,5093,7509,-,3,2,5,9,28,40,72,180,268,369,538,899,1616,3978,6194,18492
"Stroke, not specified as haemorrhage or infarction",2016,-,1,1,-,1,1,1,10,20,55,91,152,261,435,964,1167,2126,-,-,-,-,-,2,1,1,9,16,28,73,148,313,830,1587,5970
"Diseases of arteries, arterioles and capillaries",2016,1,2,3,3,5,9,21,42,90,159,280,435,607,739,1300,1306,1989,-,-,1,-,2,7,9,13,32,77,119,193,290,417,887,1145,4445
Diseases of the respiratory system,2016,7,33,8,15,15,25,63,84,238,506,1110,1833,2818,4052,7093,6971,10034,9,22,6,7,22,21,23,50,128,312,674,1156,1818,2521,4212,5140,13388
Influenza,2016,1,4,1,3,-,1,5,4,14,24,24,26,29,25,27,18,22,-,3,1,-,1,3,2,8,10,9,13,20,10,13,16,22,51
Pneumonia,2016,1,10,2,7,6,9,23,31,76,121,205,286,467,781,1654,2049,3811,3,11,1,1,10,9,9,18,28,59,94,150,239,407,945,1608,5574
Chronic lower respiratory diseases,2016,-,9,2,3,3,6,19,25,97,271,697,1249,1870,2513,3889,3451,4160,-,1,-,1,4,4,5,15,62,196,479,847,1337,1715,2445,2511,5065
Asthma,2016,-,4,2,3,3,2,9,3,8,14,28,20,23,26,49,59,89,-,1,-,1,3,4,2,4,10,21,32,30,49,45,73,102,248
"COVID-19, virus detected",2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"COVID-19, virus not detected",2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Diseases of the digestive system,2016,6,7,6,16,40,76,183,354,803,1498,1934,2313,2351,2238,3202,2830,3565,2,7,3,7,14,38,74,136,366,609,862,1015,1232,1458,2560,3167,7701
"Gastric, duodenal, peptic, gastrojejunal ulcer",2016,-,-,1,-,1,4,4,8,22,45,63,82,102,106,173,202,322,-,-,-,-,-,-,1,2,3,17,20,33,48,79,166,244,663
Diseases of liver,2016,-,2,1,3,24,53,133,250,593,1140,1428,1631,1460,1166,1293,778,478,1,4,-,2,8,27,52,100,283,444,599,639,678,576,810,586,621
"Alcohol. liver dis.,chr. hepatitis,fibrosis,cirrh.",2016,-,-,-,1,20,48,130,241,567,1103,1368,1540,1375,1092,1177,680,392,-,1,-,1,5,24,48,95,269,416,561,594,622,506,674,481,452
Diseases of the skin and subcutaneous tissue,2016,-,1,1,-,-,3,5,10,7,15,28,30,40,67,126,125,134,-,-,1,-,-,-,2,1,1,10,14,28,40,45,111,203,546
Diseases of musculoskeletal sys. a. connec. tissue,2016,-,1,2,3,1,7,6,10,24,52,60,89,117,180,278,290,383,1,1,2,5,6,5,4,9,31,30,57,100,120,202,379,456,1100
Chronic polyarthritis and arthrosis,2016,-,-,-,-,-,2,-,3,4,6,13,16,31,38,74,80,93,-,-,-,-,1,-,1,-,5,9,8,21,28,54,102,123,317
Diseases of the genitourinary system,2016,-,3,-,-,3,8,9,18,55,104,168,293,494,799,1724,2350,4430,1,1,1,2,5,3,9,8,30,62,104,190,325,577,1516,2540,7970
Disorders of kidney,2016,-,3,-,-,3,7,7,12,44,75,128,235,367,601,1294,1785,3398,1,-,1,1,4,3,8,6,22,48,78,140,228,415,1120,1858,6161
"Pregnancy, childbirth and the puerperium",2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,5,10,6,-,-,-,-,-,-,-,-,-,-
Certain conditions origin. in the perinatal period,2016,793,7,1,3,4,3,1,2,6,5,4,4,5,5,3,1,1,619,6,1,1,2,1,4,1,1,2,4,2,-,3,1,4,1
"Congenital malform.,deform. a. chromosomal abnorm.",2016,407,84,25,21,19,31,19,16,42,67,74,77,55,26,33,18,25,365,64,17,10,21,12,16,17,33,56,68,74,50,32,42,29,56
Congenital malformations of the nervous system,2016,42,22,7,7,2,5,3,-,5,-,1,3,1,3,4,1,3,32,16,4,1,3,4,2,9,1,1,2,1,1,3,2,3,1
Congenital malformations of the circulatory system,2016,134,31,8,3,9,12,4,6,10,11,7,14,3,8,14,7,9,118,19,4,1,5,5,7,2,10,10,10,10,3,8,19,16,31
"Symp., signs a. abnormal clinical a. lab. findings",2016,158,77,43,109,144,204,308,430,812,1370,1702,1792,1869,1901,2259,1776,2194,135,65,42,36,56,82,129,160,281,392,577,699,851,1012,1576,1679,4974
Sudden infant death syndrome,2016,81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Other ill-defined and unknown causes of mortality,2016,74,75,43,108,142,202,296,421,789,1329,1649,1754,1810,1817,2089,1548,1480,77,61,42,35,54,79,128,159,270,378,554,668,815,933,1424,1383,2542
External causes of morbidity and mortality,2016,17,139,406,640,728,761,762,833,1275,1533,1518,1469,1370,1562,2678,2671,4281,19,71,133,166,180,209,159,240,421,542,554,560,589,866,1669,2374,6988
"Accidents, including their sequelae",2016,11,112,236,334,353,318,328,345,521,663,720,784,817,1009,1871,2087,3653,12,50,60,85,63,93,63,102,130,210,266,311,409,633,1377,2130,6562
Transport accidents,2016,1,43,180,245,191,140,127,131,182,244,185,145,134,138,253,168,114,3,26,49,64,30,37,17,37,41,64,70,56,60,75,111,102,84
Falls,2016,-,6,7,16,18,21,30,56,97,145,219,296,360,463,1026,1330,2631,1,4,4,5,5,5,8,21,28,48,59,112,159,325,833,1385,4712
Accidental drowning and submersion,2016,-,34,22,22,22,16,18,6,22,23,20,16,18,21,36,27,13,3,7,-,-,4,4,3,2,5,4,9,6,8,11,18,11,16
"Exposure to smoke, fire and flames",2016,-,3,2,4,5,3,8,11,11,16,21,16,12,18,25,15,24,-,2,1,1,2,2,2,2,2,8,7,10,11,15,22,15,29
Accid. poisoning by and exposure to noxious subst.,2016,-,-,8,25,69,96,100,77,78,59,50,39,14,26,20,16,17,-,1,2,8,13,29,20,19,24,19,29,12,8,16,10,16,27
Intentional self-harm,2016,-,9,139,262,316,398,357,429,670,775,710,600,477,491,714,502,525,-,8,66,66,93,96,76,108,254,291,254,207,152,188,228,167,210
Assault,2016,5,11,10,14,14,13,14,10,17,18,17,12,6,3,11,9,5,3,6,4,8,11,14,13,21,15,14,11,10,8,11,7,13,14
Event of undetermined intent,2016,1,7,19,29,44,32,60,49,65,73,69,71,64,59,80,71,97,4,6,3,7,12,6,7,9,20,26,22,29,20,33,56,64,199
Total,2016,1494,626,671,1081,1367,1809,2485,3778,8141,15308,23028,30738,38577,47844,79962,78387,113008,1206,473,322,366,565,881,1232,2076,4650,8285,12404,16722,22223,30623,58804,77487,224279
Certain infectious and parasitic diseases,2017,10,20,5,12,11,28,50,78,138,249,376,435,655,727,1373,1661,2365,8,14,4,6,10,17,20,47,52,136,174,259,364,550,1157,1772,4502
"Tuberculosis, including its sequelae",2017,-,-,-,1,2,-,6,3,6,10,5,10,13,12,25,27,51,-,-,-,-,2,-,-,-,-,1,1,6,3,8,23,19,54
Meningococcal infection,2017,1,3,-,2,-,-,-,-,-,1,1,-,1,-,2,2,-,-,3,-,1,-,1,-,-,-,2,1,1,1,-,1,3,-
Viral hepatitis,2017,-,-,1,-,-,6,7,23,40,57,66,59,56,28,30,20,25,-,-,-,-,-,4,3,11,12,22,25,16,21,21,53,49,83
HIV disease,2017,-,-,-,-,3,12,15,20,31,42,35,25,22,12,18,6,2,-,-,-,1,1,5,8,10,12,7,3,4,4,5,4,2,2
Neoplasms,2017,13,105,55,96,135,211,391,660,1863,4559,8112,11849,15317,16923,25863,20980,19866,11,98,31,54,132,289,511,879,2174,4175,6403,8505,10688,12127,19045,18280,25286
Malignant neoplasms,2017,8,100,54,90,130,205,378,638,1829,4488,7987,11645,15025,16543,25099,20186,18721,9,89,27,50,129,285,503,866,2149,4131,6325,8371,10527,11855,18464,17387,23302
"Malignant neoplasms of lip, oral cavity, pharynx",2017,-,2,-,-,3,6,6,31,138,341,532,704,667,509,482,310,232,-,-,1,1,2,3,8,6,23,74,135,180,188,162,208,163,248
Malignant neoplasms of oesophagus,2017,-,-,-,-,-,1,8,23,95,238,424,646,666,623,718,512,312,-,-,-,-,-,2,1,6,18,53,77,139,159,171,213,164,230
Malignant neoplasms of stomach,2017,-,-,-,5,9,9,25,39,111,270,400,493,580,628,987,870,840,-,-,1,-,4,21,30,35,73,143,195,228,305,334,640,648,1043
Malignant neoplasms of colon,2017,-,-,1,1,6,26,25,36,101,235,410,618,903,998,1679,1462,1542,-,-,1,1,8,13,19,49,96,190,260,392,539,734,1330,1420,2620
"Malig. neopl. of rectum,anus,rectosigmoid junction",2017,-,-,1,1,1,9,16,41,85,203,348,491,592,667,900,731,617,-,-,-,1,2,4,14,15,67,136,186,208,294,298,567,578,911
"Malignant neoplasms of liver, bile ducts, pancreas",2017,1,2,1,2,4,11,42,74,237,580,1055,1639,2151,2306,3521,2541,1720,-,1,1,1,2,9,18,48,139,335,637,962,1339,1698,2859,2683,3095
"Malig. neoplasms of liver, intrahepatic bile ducts",2017,1,2,1,1,2,6,12,21,58,193,356,547,739,799,1215,784,476,-,1,1,1,2,4,3,11,37,77,139,222,274,326,520,475,604
Malignant neoplasms of pancreas,2017,-,-,-,-,2,2,21,46,158,337,618,939,1205,1267,1914,1444,994,-,-,-,-,-,3,14,30,86,219,426,620,874,1143,1909,1780,1954
"Malig. neoplasms of larynx,trachea,bronchus,lung",2017,-,-,-,3,2,11,44,101,395,1192,2523,3714,4609,4711,6004,3903,2662,-,-,-,2,4,10,33,85,302,742,1558,2195,2576,2499,2786,1990,1800
Malignant neoplasms of bronchus and lung,2017,-,-,-,3,2,11,43,99,374,1130,2411,3543,4386,4554,5811,3753,2544,-,-,-,2,4,10,31,85,298,730,1541,2159,2547,2466,2753,1966,1776
Melanoma and other malignant neoplasms of skin,2017,-,-,-,2,3,7,24,33,53,105,113,151,177,226,401,385,440,-,2,-,2,6,10,14,28,50,84,80,97,140,144,237,241,509
